BackMop,A,B,S
20.18,NaN,NaN,NaN
19.27,NaN,NaN,NaN
18.39,NaN,NaN,NaN
17.5,NaN,NaN,NaN
16.5,0.0033300407230854,0.0445256211484472,38
15.47,0.00902492925524712,0.0484429141506553,282
14.47,NaN,NaN,NaN
13.47,NaN,NaN,NaN
12.5,NaN,NaN,NaN
11.49,NaN,NaN,NaN
10.47,0.00558588467538357,0.0467327252651254,340
9.5,0.0030672587454319,0.0494228756676118,318
8.56,NaN,NaN,NaN
7.63,0.00219487957656384,0.0520836074526111,317
6.67,0.00573811866343021,0.0566781082501014,372
5.62,NaN,NaN,NaN
4.56,NaN,NaN,NaN
3.5,NaN,NaN,NaN
2.51,NaN,NaN,NaN
1.52,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
1,NaN,NaN,NaN
23,NaN,NaN,NaN
22.88,NaN,NaN,NaN
22.87,NaN,NaN,NaN
23.31,NaN,NaN,NaN
24.23,NaN,NaN,NaN
25.23,NaN,NaN,NaN
26.24,NaN,NaN,NaN
27.27,NaN,NaN,NaN
28.06,NaN,NaN,NaN
28.72,NaN,NaN,NaN
29.6,0.00203821063041687,0.0267707455592851,136
30.53,0.00275726243853569,0.0368167292326689,349
31.5,0.00576918944716454,0.0500613056744138,264
32.56,0.00239500124007463,0.0229711355641484,179
33.5,0.00273921806365252,0.024400383234024,97
34.5,0.00650991499423981,0.0400087938954433,298
35.5,0.021109202876687,0.0775245952730377,332
36.68,0.00164989847689867,0.0308519410900772,332
37.66,0.0255426429212093,0.0778026996801297,297
38.6,0.00509576685726643,0.0428563278789322,341
39.71,NaN,NaN,NaN
40.86,0.00927872397005558,0.0440760968873898,114
41.78,0.00506824627518654,0.037211992777884,66
42.67,0.00142903998494148,0.0341166028132041,335
43.73,0.00537467934191227,0.0298957025321821,29
44.76,0.00903875194489956,0.0453717624768615,327
45.74,0.00527925230562687,0.0396917515123884,361
46.8,0.00586095079779625,0.0373790835340818,0
47.81,0.00635894201695919,0.0356829703475038,361
48.7,0.00738545972853899,0.0372887393459678,44
49.61,0.000906710512936115,0.0249656851713856,62
50.61,0.00389352440834045,0.0438572559505701,10
51.57,0.00172356702387333,0.0334036443382502,326
52.56,0.00402572937309742,0.042054947776099,140
53.63,0.00459089875221252,0.0414110897108912,67
54.68,NaN,NaN,NaN
55.77,0.00133448094129562,0.0358046619221568,52
56.69,0.00311027653515339,0.0394754173854987,362
57.47,0.00149931199848652,0.030659071325014,36
58.59,0.00166856124997139,0.0290757274876038,10
59.75,0.000737937167286873,0.0334837747116884,121
60.6,0.00376926828175783,0.0340696908533573,183
61.49,0.00428298860788345,0.0408375430852175,256
62.52,0.000743059441447258,0.0330890243252118,-4
63.5,0.00333976279944181,0.0318538545009991,121
64.5,0.00166153535246849,0.0340505049874385,365
65.5,0.00363986752927303,0.0405817882468303,146
66.56,0.00192881375551224,0.0412081514174739,6
67.6,0.00332417991012335,0.0315106886749466,225
68.61,0.00297954678535461,0.0410753916949034,23
69.62,0.00568695366382599,0.0430220343793432,134
70.58,0.00332880392670631,0.0463955514132977,32
71.51,0.00265717506408691,0.0377572275077303,330
72.5,0.00144848041236401,0.0376473863919576,42
73.51,0.00713532045483589,0.0420812228694558,124
74.55,0.00307879410684109,0.0423367864762743,18
75.55,0.00184318795800209,0.0532391521458824,349
76.51,0.00320961326360703,0.0449653385827939,88
77.5,0.00306740961968899,0.0379610216865937,188
78.62,0.00974016822874546,0.0511382641270757,34
79.63,0.00238851085305214,0.0406221359347304,72
80.64,0.00363129563629627,0.0480224331840873,53
81.68,0.00307648256421089,0.0448061935603619,329
82.7,0.00273174047470093,0.0438684402033687,101
83.66,0.00446685031056404,0.0513547683755557,67
84.58,0.0148365534842014,0.0512914219871163,51
85.53,0.00765829719603062,0.0544206947088242,92
86.52,0.0131404623389244,0.0673368073379,361
